gene	tig00002590_nlr_1	tig00001423_nlr_1	tig00001343_nlr_1	tig00002055_nlr_1	Rpi_R9a	Rpi_R8	Rpi_R3b	Rpi_R3a	Rpi_R2-like	Rpi_R1
Basin_Russet	0	9.81818	19.331	1.73235	46.0234	16.1493	99.6428	5.38889	100	0
Bintje_NC	5.57424	0	30.1043	12.2131	46.629	25.5319	16.6121	2.94444	7.52467	2.90921
Annabelle	100	100	100	100	53.2095	45.3784	15.9869	0	6.20888	9.17519
Cabaret	4.85344	35	18.9401	21.741	52.3214	22.8811	46.2935	7.16667	7.11349	33.4399
Arran_Victory	0	0	21.2424	8.66176	40.7751	15.94	10.7175	0	0	5.97826
Arsenal_HR03b	42.0951	23.6364	31.4509	39.1511	58.256	66.6899	11.2236	0	8.38816	30.5307
Bartina	100	100	100	100	55.0262	67.1782	99.8809	13.7222	12.2944	15.3133
Athlete	11.1004	12.3182	36.0556	28.5838	60.1938	63.8298	98.4817	100	12.4178	23.1138
Cara_HR02_v5	100	100	100	100	51.2313	63.8647	98.9878	100	0	100
Cammeo	14.7525	10.4091	19.2441	19.3157	55.7529	99.2675	12.9503	4.88889	0	9.6867
Alouette	28.9284	17.1818	28.2363	31.6154	33.912	53.7496	98.9878	100	8.63487	12.2442
Camel	32.8688	16.6364	33.7967	35.2967	57.9734	62.5392	20.5418	0	6.29112	100
Arizona	100	100	100	100	50.2624	57.2724	100	100	6.20888	0
Bute	100	100	100	100	52.5232	5.26683	99.345	100	12.6645	9.65473
Estima_HR02_v5	17.3474	21.7727	36.2294	23.8631	56.2778	64.0042	99.7618	9.97222	12.0477	14.9936
Charlotte	47.4772	18.8182	34.7089	29.6665	34.6387	49.9128	99.1664	100	5.96217	100
Cultra	100	100	100	100	56.6815	64.0739	98.8092	100	12.1711	100
DM	4.61317	0	8.81842	8.14205	13.8878	32.3334	15.3319	0	0	0
Buster	100	100	100	100	40.0484	69.0966	99.5237	100	12.0066	33.7916
Hermes_HR02_v5	40.4613	23.8182	39.2702	39.8874	41.6633	62.2602	98.8092	100	12.2533	100
Fontane	26.4777	14.2727	29.2354	15.8077	37.8684	42.7276	98.0054	100	10.7319	100
Brooke	25.9491	45.8636	33.7098	38.3716	55.1474	65.5738	15.8678	0	6.74342	100
Amora	36.7131	21.3182	37.5326	26.0719	42.6726	64.0391	13.3373	0	8.51151	100
Burren	21.0956	20.1818	23.8923	30.1429	55.7933	58.8071	99.2557	100	8.55263	14.4821
Desiree_HR02_v5	25.9491	20.0909	40.3128	16.0676	56.4796	57.97	11.2831	0	12.1299	19.1496
King_Edward	77.3667	75.4091	74.0226	67.735	50.9891	32.2288	64.0965	66.75	18.8322	54.3798
Brodie	26.3335	14.3636	36.5334	23.2135	53.4114	63.3764	99.5832	100	6.25	100
Inca_Bella	0	6.86364	11.338	15.5045	38.8373	57.9351	10.8366	0	12.1711	0
Lady_Anna	100	100	100	100	61.3646	37.5654	98.6008	100	6.29112	26.2788
Carolus_HR02_v5	37.9625	21.3182	37.6195	33.2612	42.4304	57.4468	99.8511	100	6.66118	20.4923
Catriona	26.0452	16.8182	36.7072	29.4933	61.2838	63.7251	11.4915	4.19444	13.2812	18.5102
LaStrada	28.2556	23.3636	42.4848	43.0056	59.8708	63.3415	99.1962	100	12.1711	9.30307
Manitou	18.0202	19.7727	26.8462	25.5522	57.8119	51.029	98.4817	100	13.0345	8.72762
Melody	68.5247	57.1364	59.2963	72.4989	37.3032	40.8441	97.5588	100	4.97533	8.63171
Challenger	17.9721	15.4545	28.106	9.78779	58.9826	64.4925	99.9702	18.2222	13.6102	25.2558
16_MC_204_A3_HR03b	17.9721	21.3182	28.5404	9.00823	44.2874	60.6209	98.3924	100	12.4589	100
Gemson_tp50_v5	100	100	100	100	88.2115	57.3422	18.6365	0	12.2944	100
Mayan_Rose	30.9947	21.5909	40.8775	20.4851	61.4049	63.6554	98.7794	100	6.57895	100
Lady_Clair	12.2537	0	36.4466	10.0476	53.7747	39.9372	99.0176	7.33333	0	2.49361
Atlantic_HR02_v5	100	100	100	100	55.0262	64.7367	16.0464	0	12.2122	100
Electra	100	100	100	100	42.8744	63.3764	99.9405	10.4167	12.2944	20.7801
Marfona_HR02_v5	48.7746	23.9545	46.7854	40.4071	60.8801	56.2958	24.2334	4.19444	12.2533	14.8657
Innovator_HR02_v5	22.4892	21.7273	37.8801	25.6821	21.7602	71.9219	99.4939	100	100	100
Kennebec	0	0	21.8071	11.0437	38.6758	23.7182	19.2617	0	13.6102	100
Ranger_Russet	16.3383	9.86364	1.52042	17.8865	45.216	16.219	10.4793	0	0	0
Agria_HR02_v5	100	100	100	100	59.1441	64.7367	99.613	100	13.898	20.5563
Kelly_HR02_v5	10.5238	19.9545	30.8427	33.2178	88.2115	100	18.3388	0	97.9441	4.82737
Rooster_HR02_v5	28.2556	13.8636	29.0617	32.1351	60.113	61.5975	11.4617	0	8.38816	100
Favorite	25.8049	20.8182	34.0573	36.466	55.4703	57.97	20.3037	2.30556	6.20888	16.688
Rock	100	100	100	100	58.7	56.226	10.777	0	7.48355	36.2532
Picasso	100	100	100	100	38.3528	23.4391	99.226	100	10.2385	100
Alverstone_Russet_HR03b	10.6679	18.1818	28.2363	19.9654	58.3771	62.33	16.4335	23.75	18.6678	100
